;meta[language=cz]
; id      |key(hex)|key(str)| text
;
; comment lines use ; as first character
; all comment lines (except the two line header) will be ignored
;
2110992000|        |panel_Mods|Mods
2110992001|        |panel_ghost_mode|Ghost Mode
2110992002|        |option_gm_health_multiplier|Modifikátor zdraví nepřátel: 
2110992003|        |option_gm_damage_multiplier|Modifikátor poškození nepřátel: 
2110992004|        |option_gm_enemies_scaling|Navyšování úrovně nepřátel
2110992005|        |preset_value_gm_es_none|Nenavyšovat 
2110992006|        |preset_value_gm_es_upscale|Navýšit
2110992007|        |preset_value_gm_es_match|Rovná se Geraltově úrovni
2110992008|        |option_gm_boss_health_multiplier|Additional health modifier for bosses
2110992009|        |option_gm_boss_damage_multiplier|Additional damage modifier for bosses
2110992013|        |attribute_name_frost_resistance_perc|Odolnost proti mrazu
2110992014|        |attribute_name_armor_reduction_perc|Snížení nepřítelovi odolnosti proti poškození
2110992015|        |attribute_name_potion_duration|Trvání účinku lektvaru
2110992016|        |preset_value_gm_es_soft|Mírné navýšení 
2110992017|        |panel_common_statistics_tooltip_silver_dph_gm|Poškození za každý zásah (stříbro)
2110992018|        |panel_common_statistics_tooltip_steel_dph_gm|Poškození za každý zásah (ocel)
2110992019|        |gm_sign_stats_channeling_damage_per_sec|Poškození proudem ohně za sekundu
2110992020|        |gm_sign_stats_yrden_traps|Magické pasti
2110992021|        |gm_sign_stats_yrden_damage|Poškození magické pasti
2110992022|        |gm_sign_stats_alt_yrden_duration|Trvání magické střílny
2110992023|        |gm_sign_stats_alt_yrden_charges|Zásobníky magické střílny
2110992024|        |gm_sign_stats_alt_yrden_damage|Poškození magické střílny                                   
2110992025|        |gm_sign_stats_alt_quen_returned_damage|Vrácené poškození
2110992026|        |gm_sign_stats_alt_quen_dmg_absorption|Pohlcení poškození aktivního štítu
2110992027|        |gm_sign_stats_alt_axii_chance|Šance na alternativní efekt při seslání Axie
2110992028|        |gm_combat_stats_fast_attack_power|Síla rychlého útoku
2110992029|        |gm_combat_stats_strong_attack_power|Síla silného útoku
2110992030|        |gm_sign_stats_quen_dmg_absorption|Pohlcené poškození
2110992034|        |attribute_name_vsBeast_critical_hit_chance|Šance kritického zásahu proti zvířatům
2110992035|        |attribute_name_vsCursed_critical_hit_chance|Šance kritického zásahu proti prokletým
2110992036|        |attribute_name_vsDraconide_critical_hit_chance|Šance kritického zásahu proti drakovitým
2110992037|        |attribute_name_vsHuman_critical_hit_chance|Šance kritického zásahu proti lidem
2110992038|        |attribute_name_vsHybrid_critical_hit_chance|Šance kritického zásahu proti hybridům
2110992039|        |attribute_name_vsInsectoid_critical_hit_chance|Šance kritického zásahu proti hmyzovitým
2110992040|        |attribute_name_vsMagicals_critical_hit_chance|Šance kritického zásahu proti elementálům
2110992041|        |attribute_name_vsNecrophage_critical_hit_chance|Šance kritického zásahu proti nekrofágům
2110992042|        |attribute_name_vsRelic_critical_hit_chance|Šance kritického zásahu proti reliktům
2110992043|        |attribute_name_vsSpecter_critical_hit_chance|Šance kritického zásahu proti přeludům
2110992044|        |attribute_name_vsOgre_critical_hit_chance|Šance kritického zásahu proti zlobrovitým
2110992045|        |attribute_name_vsVampire_critical_hit_chance|Šance kritického zásahu proti upírům
2110992046|        |attribute_name_vsBeast_critical_hit_damage_bonus|Síla kritického zásahu proti zvířatům
2110992047|        |attribute_name_vsCursed_critical_hit_damage_bonus|Síla kritického zásahu proti prokletým
2110992048|        |attribute_name_vsDraconide_critical_hit_damage_bonus|Síla kritického zásahu proti drakovitým
